fid,CuadrID,latitude,longitude,Area_hec,HIE_FAS,SAL_SAL,ALY_DIC,DIS_JEA,VIP_LAT,CAP_PYR,CAN_LUP,URS_ARC,MUS_LUT,GAL_PYR,ATE_ALG,MAC_CAL,PAR_APO,LUC_CER,APT_APT,LOP,LOP2,LOP3,LALOP2,LA2LOP,LALOP,LA2,LA3,LA,ORS,ORW,ALTI,ALTI2,PEND,PEND2,DAUT,DIHE,DIPR,ESCO,ETP,ETR,HUEN,HUJU,INSO,PERM,PM24,PMR,PREC,RADS,TENE,TJUL,TMED,U100,U500
"918",918,40,-6,10004,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.7955,14.40711,54.69198,589.75922,6360.11572,155.36989,1675.69959,68595.32812,40.9353,97.2395,101.22603,763.60529,583093.0322,0.89848,0.80727,77.69327,66.02631,77.6154,133.50998,734.53302,533.24072,91.93584,68.20988,2733.54785,2,85.45116,0.16059,533.24072,4.35085,4.75476,21.47942,13.18256,46.17811,198.15363
"919",919,41,-6,10004,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.7966,14.41532,54.73772,591.39526,6390.03223,155.75754,1683.09277,69049.78906,41.02551,94.56113,89.30392,802.86957,644599.54306,0.84391,0.71219,75.23727,64.19131,76.48914,132.33833,737.07092,561.44397,92.56822,68.48779,2703.21558,2,78.84702,0.14071,561.44397,4.33038,4.39806,21.61469,13.29768,45.88353,197.23598
"920",920,41,-6,10004,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",3.80151,14.45282,54.95256,594.20984,6425.85498,156.29449,1690.33972,69496.23438,41.11373,88.38957,82.5109,782.30835,612006.35385,0.93234,0.86926,73.57069,62.11666,77.43481,123.89328,720.53235,592.15308,93.19957,68.60464,2673.34399,2,72.79877,0.12299,592.15308,4.34644,4.11677,21.74999,13.48345,47.75653,196.75768
"921",921,41,-6,10004,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",3.80591,14.4861,55.14149,596.91791,6462.27246,156.82736,1697.95715,69966.53125,41.20627,74.26965,86.33469,736.87823,542989.53307,0.99495,0.98992,69.45052,60.12174,77.60291,113.76779,704.97607,596.9101,93.77228,68.60114,2649.61938,2,74.0521,0.12405,596.9101,4.37066,3.882,21.88313,13.48362,51.61549,196.77026
"922",922,41,-6,10003,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.80623,14.48862,55.15648,598.30933,6490.71631,157.17868,1705.28857,70420.17188,41.29513,88.3008,99.01689,745.71051,556084.16517,0.69448,0.4823,63.41026,56.75439,75.67209,113.47955,700.02722,582.18121,94.31685,69.038,2632.4939,2,77.53341,0.1332,582.18121,4.40573,3.55866,22.16686,13.09021,56.86093,197.26665
"923",923,41,-6,10003,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.81416,14.54911,55.50259,602.06848,6531.57275,157.83673,1712.45459,70864.52344,41.38181,85.28757,101.31986,761.70435,580193.51026,0.58142,0.33805,58.37099,50.81739,73.89235,137.35277,719.6687,559.77448,94.58182,70.87141,2616.1106,2,81.17951,0.14506,559.77448,4.45674,3.43385,22.21074,12.87049,63.10363,198.42993
"924",924,41,-6,10003,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",3.81553,14.55944,55.56084,603.84497,6563.22266,158.24718,1720.13464,71341.78125,41.4745,80.50784,100.26266,743.18335,552321.49112,0.92498,0.85559,53.98428,47.875,76.45142,169.85864,748.21277,582.38312,94.09158,72.65266,2598.52344,2,85.11075,0.14614,582.38312,4.49889,3.64519,22.13958,12.55741,70.52402,200.00467
"925",925,40,-6,13621,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",3.9273,15.42592,60.59999,627.21222,6492.64404,159.68257,1653.21375,67219.27344,40.65972,67.68591,97.45703,910.10492,828290.96432,1.70261,2.89887,96.0311,63.46296,87.32214,225.38702,742.72894,712.26996,89.30879,64.28011,2838.47437,1.93827,139.57103,0.18574,761.67822,4.44957,5.11947,21.7611,12.99132,48.62653,197.22018
"926",926,40,-6,13278,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.92615,15.41679,60.54519,628.24677,6519.89502,159.99406,1660.63293,67672.27344,40.75085,68.18588,102.97191,840.39075,706256.60781,0.99138,0.98283,96.20848,66.62251,83.59142,160.78989,733.02258,568.60669,90.38879,65.87208,2802.2207,2.76159,119.31377,0.21072,568.60669,4.40084,5.00373,21.61088,12.96503,42.41833,198.70332
"927",927,40,-6,12933,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.92942,15.44243,60.69617,630.65082,6553.51514,160.47278,1667.80298,68111.01562,40.83873,82.87042,92.84793,790.23999,624479.24211,0.77908,0.60697,91.84348,69.28,79.31691,123.25937,722.97699,479.43649,91.07817,66.77921,2769.94946,2.50667,99.28466,0.20707,479.43649,4.35892,4.85603,21.45403,12.88545,37.77397,200.74083
